trial_id,looming_start_frame,looming_start_time,bhvr1,bhvr2,bhvr3,bhvr4,bhvr5
G1M3D3T4,25370,"4, 0:21:07.777263",,,,,
G1M3D3T5,28454,"5, 0:23:41.961625",,,,,
G1M3D4T1,13049,"1, 0:10:50.671995",,,,,
G1M3D4T2,16456,"2, 0:13:41.012922",,,,,
G1M3D4T3,21649,"3, 0:18:00.636019",,,,,
G1M3D4T4,23496,"4, 0:19:33.016683",,,,,
G1M3D4T5,26371,"5, 0:21:56.750345",,,,,
G1M3D4T6,36764,"6, 0:30:36.389417",,,,,
G1M3D4T7,39511,"7, 0:32:53.704110",,,,,
G1M3D4T8,41583,"8, 0:34:37.338958",,,,,
G1M3D5T1,26599,"1, 0:22:09.042134",,,,,
G1M3D5T2,32272,"2, 0:26:52.686894",,,,,
G1M4D1T1,13965,"1, 0:11:36.858932",,,,,
G1M4D1T2,16357,"2, 0:13:36.504083",,,,,
G1M4D1T3,18565,"3, 0:15:26.887893",,,,,
G1M4D1T4,20733,"4, 0:17:15.296537",,,,,
G1M4D1T5,25032,"5, 0:20:50.229762",,,,,
G1M4D1T6,30894,"6, 0:25:43.299790",,,,,
G1M4D1T7,34658,"7, 0:28:51.479660",,,,,
G1M4D1T8,36206,"8, 0:30:08.891612",,,,,
G1M4D1T9,38355,"9, 0:31:56.353840",,,,,
G1M4D1T10,42314,"10, 0:35:14.298271",,,,,
G1M4D1T11,44311,"11, 0:36:54.134274",,,,,
G1M4D1T12,45844,"12, 0:38:10.762142",,,,,
G1M4D2T1,12076,"1, 0:10:02.386067",,,,,
G1M4D2T2,14031,"2, 0:11:40.112973",,,,,
G1M4D2T3,16854,"3, 0:14:01.282924",,,,,
G1M4D2T4,22657,"4, 0:18:51.393297",,,,,
G1M4D2T5,26517,"5, 0:22:04.430526",,,,,
G1M4D2T6,29120,"6, 0:24:14.538791",,,,,
G1M4D2T7,42089,"7, 0:35:02.986699",,,,,
G1M4D2T8,46032,"8, 0:38:20.097319",,,,,
G1M4D3T1,13655,"1, 0:11:22.099897",,,,,
